route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id
GDR_G1,1,212,,,1
GDR_G1,1,213,,,1
GDR_G1,1,214,,,1
GDR_G1,1,215,,,1
GDR_G1,1,216,,,1
GDR_G1,1,217,,,1
GDR_G1,1,218,,,1
GDR_G1,1,219,,,1
GDR_G1,1,220,,,1
GDR_G1,1,221,,,1
GDR_G1,1,222,,,1
GDR_G1,1,223,,,1
GDR_G1,1,224,,,1
GDR_G1,1,225,,,1
GDR_G1,1,226,,,1
GDR_G1,1,227,,,1
GDR_G1,1,228,,,1
GDR_G1,1,229,,,1
GDR_G1,1,230,,,1
GDR_G1,1,231,,,1
GDR_G1,1,232,,,1
GDR_G1,1,233,,,1
GDR_G1,1,234,,,1
GDR_G1,1,235,,,1
GDR_G1,1,236,,,1
GDR_G1,1,237,,,1
GDR_G1,1,238,,,1
GDR_G1,1,239,,,1
GDR_G1,1,240,,,1
GDR_G1,1,241,,,1
GDR_G1,1,242,,,1
GDR_G1,1,243,,,1
GDR_G1,1,244,,,1
GDR_G1,1,245,,,1
GDR_G1,1,246,,,1
GDR_G1,1,247,,,1
GDR_G1,1,248,,,1
GDR_G1,1,249,,,1
GDR_G1,1,250,,,1
GDR_G1,1,251,,,1
GDR_G1,2,252,,,0
GDR_G1,2,253,,,0
GDR_G1,2,254,,,0
GDR_G1,2,255,,,0
GDR_G1,2,256,,,0
GDR_G1,2,257,,,0
GDR_G1,2,258,,,0
GDR_G1,2,259,,,0
GDR_G1,2,260,,,0
GDR_G1,2,261,,,0
GDR_G1,2,262,,,0
GDR_G1,2,263,,,0
GDR_G1,2,264,,,0
GDR_G1,2,265,,,0
GDR_G1,2,266,,,0
GDR_G1,2,267,,,0
GDR_G1,2,268,,,0
GDR_G1,2,269,,,0
GDR_G1,2,270,,,0
GDR_G1,2,271,,,0
GDR_G1,2,272,,,0
GDR_G1,2,273,,,0
GDR_G1,2,274,,,0
GDR_G1,2,275,,,0
GDR_G1,2,276,,,0
GDR_G1,2,277,,,0
GDR_G1,2,278,,,0
GDR_G1,2,279,,,0
GDR_G1,2,280,,,0
GDR_G1,2,281,,,0
GDR_G1,2,282,,,0
GDR_G1,2,283,,,0
GDR_G1,2,284,,,0
GDR_G1,2,285,,,0
GDR_G1,2,286,,,0
GDR_G1,2,287,,,0
GDR_G1,2,288,,,0
GDR_G1,2,289,,,0
GDR_G1,2,290,,,0
GDR_G1,2,291,,,0
GDR_G1,2,292,,,0
GDR_G1,2,293,,,0
GDR_G1,2,294,,,0
GDR_G1,2,295,,,0
GDR_G1,2,296,,,0
GDR_G1,2,297,,,0
GDR_G1,2,298,,,0
GDR_G1,2,299,,,0
GDR_G1,2,300,,,0
GDR_G1,2,301,,,0
GDR_G1,2,302,,,0
GDR_G1,2,303,,,0
GDR_G1,2,304,,,0
GDR_G1,2,305,,,0
GDR_G1,2,306,,,0
GDR_G1,2,307,,,0
GDR_G1,2,308,,,0
GDR_G1,2,309,,,0
GDR_G1,2,310,,,0
GDR_G1,2,311,,,0
GDR_G1,2,312,,,0
GDR_G1,2,313,,,0
GDR_G1,2,314,,,0
GDR_G1,2,315,,,0
GDR_G1,2,316,,,0
GDR_G1,2,317,,,0
GDR_G1,2,318,,,0
GDR_G1,2,319,,,0
GDR_G1,2,320,,,0
GDR_G1,2,321,,,0
GDR_G1,2,322,,,0
GDR_G1,2,323,,,0
GDR_G1,2,324,,,0
GDR_G1,2,325,,,0
GDR_G1,2,326,,,0
GDR_G1,2,327,,,0
GDR_G1,2,328,,,0
GDR_G1,2,329,,,0
GDR_G1,2,330,,,1
GDR_G1,2,331,,,1
GDR_G1,2,332,,,1
GDR_G1,2,333,,,1
GDR_G1,2,334,,,1
GDR_G1,2,335,,,1
GDR_G1,2,336,,,1
GDR_G1,2,337,,,1
GDR_G1,2,338,,,1
GDR_G1,2,339,,,1
GDR_G1,2,340,,,1
GDR_G1,2,341,,,1
GDR_G1,2,342,,,1
GDR_G1,2,343,,,1
GDR_G1,2,344,,,1
GDR_G1,2,345,,,1
GDR_G1,2,346,,,1
GDR_G1,2,347,,,1
GDR_G1,2,348,,,1
GDR_G1,2,349,,,1
GDR_G1,2,350,,,1
GDR_G1,2,351,,,1
GDR_G1,2,352,,,1
GDR_G1,2,353,,,1
GDR_G1,2,354,,,1
GDR_G1,2,355,,,1
GDR_G1,2,356,,,1
GDR_G1,2,357,,,1
GDR_G1,2,358,,,1
GDR_G1,2,359,,,1
GDR_G1,2,360,,,1
GDR_G1,2,361,,,1
GDR_G1,2,362,,,1
GDR_G1,2,363,,,1
GDR_G1,2,364,,,1
GDR_G1,2,365,,,1
GDR_G1,2,366,,,1
GDR_G1,2,367,,,1
GDR_G1,2,368,,,1
GDR_G1,2,369,,,1
GDR_G1,2,370,,,1
GDR_G1,2,371,,,1
GDR_G1,2,372,,,1
GDR_G1,2,373,,,1
GDR_G1,2,374,,,1
GDR_G1,2,375,,,1
GDR_G1,2,376,,,1
GDR_G1,2,377,,,1
GDR_G1,2,378,,,1
GDR_G1,2,379,,,1
GDR_G1,2,380,,,1
GDR_G1,2,381,,,1
GDR_G1,2,382,,,1
GDR_G1,2,383,,,1
GDR_G1,2,384,,,1
GDR_G1,2,385,,,1
GDR_G1,2,386,,,1
GDR_G1,2,387,,,1
GDR_G1,2,388,,,1
GDR_G1,2,389,,,1
GDR_G1,2,390,,,1
GDR_G1,2,391,,,1
GDR_G1,2,392,,,1
GDR_G1,2,393,,,1
GDR_G1,2,394,,,1
GDR_G1,2,395,,,1
GDR_G1,2,396,,,1
GDR_G1,2,397,,,1
GDR_G1,2,398,,,1
GDR_G1,2,399,,,1
GDR_G1,2,400,,,1
GDR_G1,2,401,,,1
GDR_G1,2,402,,,1
GDR_G1,2,403,,,1
GDR_G1,2,404,,,1
GDR_G1,2,405,,,1
GDR_G1,2,406,,,1
GDR_G1,2,407,,,1
GDR_G1,2,408,,,1
GDR_G1,2,409,,,1
GDR_G1,2,410,,,1
GDR_G1,2,411,,,1
GDR_G1,3,412,,,0
GDR_G1,3,413,,,0
GDR_G1,3,414,,,0
GDR_G1,3,415,,,0
GDR_G1,3,416,,,0
GDR_G1,3,417,,,0
GDR_G1,3,418,,,0
GDR_G1,3,419,,,0
GDR_G1,3,420,,,0
GDR_G1,3,421,,,0
GDR_G1,3,422,,,0
GDR_G1,3,423,,,0
GDR_G1,3,424,,,0
GDR_G1,3,425,,,0
GDR_G1,3,426,,,0
GDR_G1,3,427,,,0
GDR_G1,3,428,,,0
GDR_G1,3,429,,,0
