ANode,BNode,LinkID
30377,41474,30377_41474
30378,30502,30378_30502
30378,41374,30378_41374
30379,32102,30379_32102
30379,30385,30379_30385
30380,30542,30380_30542
30381,42699,30381_42699
30382,30528,30382_30528
30383,30368,30383_30368
30384,30363,30384_30363
30385,30380,30385_30380
30385,41492,30385_41492
30386,42788,30386_42788
30386,30387,30386_30387
30387,42768,30387_42768
30388,30395,30388_30395
30389,30253,30389_30253
30390,41509,30390_41509
30391,38705,30391_38705
30391,38860,30391_38860
30391,30513,30391_30513
30392,30352,30392_30352
30393,30307,30393_30307
30394,30393,30394_30393
30395,40548,30395_40548
30395,30488,30395_30488
30396,30430,30396_30430
30397,30498,30397_30498
30398,30365,30398_30365
30399,36124,30399_36124
30399,30440,30399_30440
30400,41666,30400_41666
30400,31778,30400_31778
30401,31448,30401_31448
30402,32321,30402_32321
30403,39772,30403_39772
30404,32403,30404_32403
30405,41385,30405_41385
30405,43079,30405_43079
30406,41224,30406_41224
30406,42791,30406_42791
30407,43082,30407_43082
30408,32379,30408_32379
30409,30412,30409_30412
30410,42466,30410_42466
30410,30367,30410_30367
30411,60037,30411_60037
30412,43324,30412_43324
30412,43093,30412_43093
30413,30324,30413_30324
30414,40082,30414_40082
30414,30437,30414_30437
30415,30323,30415_30323
30416,31267,30416_31267
30417,32376,30417_32376
30418,30298,30418_30298
30418,41654,30418_41654
30419,30299,30419_30299
30420,30421,30420_30421
30421,34755,30421_34755
30421,35869,30421_35869
30421,30301,30421_30301
30422,42168,30422_42168
30422,43101,30422_43101
30423,31254,30423_31254
30423,43104,30423_43104
30424,30439,30424_30439
30425,40794,30425_40794
30425,43107,30425_43107
30426,36345,30426_36345
30426,30294,30426_30294
30427,30411,30427_30411
30428,39029,30428_39029
30428,30291,30428_30291
30429,40058,30429_40058
30429,43116,30429_43116
30430,37557,30430_37557
30430,38047,30430_38047
30430,30462,30430_30462
30431,39673,30431_39673
30431,30295,30431_30295
30432,36234,30432_36234
30432,43119,30432_43119
30432,41418,30432_41418
30433,43121,30433_43121
30434,30332,30434_30332
30435,30338,30435_30338
30436,30409,30436_30409
30437,30296,30437_30296
30438,41331,30438_41331
30439,43130,30439_43130
30440,39832,30440_39832
30440,43136,30440_43136
30441,30353,30441_30353
30442,31249,30442_31249
30442,43139,30442_43139
30443,30351,30443_30351
30444,30453,30444_30453
30445,30347,30445_30347
30446,30344,30446_30344
30447,30316,30447_30316
30448,30449,30448_30449
30449,41342,30449_41342
30450,35719,30450_35719
30451,41328,30451_41328
30452,30445,30452_30445
30453,32370,30453_32370
30453,43153,30453_43153
30454,43155,30454_43155
30454,34242,30454_34242
30455,43157,30455_43157
30456,32378,30456_32378
30457,38675,30457_38675
30457,39063,30457_39063
30457,30326,30457_30326
30458,33379,30458_33379
30458,30435,30458_30435
30459,39028,30459_39028
30459,43638,30459_43638
30459,30305,30459_30305
30460,30417,30460_30417
30460,42786,30460_42786
30461,30436,30461_30436
30462,31250,30462_31250
30462,43178,30462_43178
30463,43181,30463_43181
30463,30405,30463_30405
30464,42943,30464_42943
30464,30330,30464_30330
30465,37476,30465_37476
30465,34161,30465_34161
30465,30455,30465_30455
30466,41548,30466_41548
30466,43190,30466_43190
30467,30339,30467_30339
30467,41546,30467_41546
30468,43193,30468_43193
30468,31268,30468_31268
30469,41438,30469_41438
30469,32385,30469_32385
30470,35432,30470_35432
30470,43198,30470_43198
30471,30443,30471_30443
30472,31251,30472_31251
30472,30322,30472_30322
30473,43200,30473_43200
30474,42774,30474_42774
30474,43205,30474_43205
30475,30283,30475_30283
30476,30507,30476_30507
30476,41351,30476_41351
30477,31273,30477_31273
30477,43211,30477_43211
30478,31150,30478_31150
30478,32409,30478_32409
30479,42964,30479_42964
30479,43215,30479_43215
30480,41552,30480_41552
30480,30360,30480_30360
30481,32505,30481_32505
30481,30407,30481_30407
30482,30483,30482_30483
30483,39830,30483_39830
30483,42682,30483_42682
30484,31138,30484_31138
30485,31300,30485_31300
30486,42968,30486_42968
30486,43221,30486_43221
30487,43250,30487_43250
30488,30489,30488_30489
30489,36770,30489_36770
30489,30362,30489_30362
30489,41457,30489_41457
30490,30491,30490_30491
30491,30517,30491_30517
30491,41476,30491_41476
30492,30505,30492_30505
30493,31197,30493_31197
30493,30543,30493_30543
30494,43224,30494_43224
30494,31088,30494_31088
30495,41502,30495_41502
30495,32203,30495_32203
30496,30484,30496_30484
30496,41659,30496_41659
30497,32107,30497_32107
30497,30372,30497_30372
30498,30476,30498_30476
30499,41288,30499_41288
30499,30260,30499_30260
30500,32220,30500_32220
30500,30382,30500_30382
30501,30530,30501_30530
30502,30383,30502_30383
30503,30529,30503_30529
30504,30280,30504_30280
30504,41599,30504_41599
30505,30398,30505_30398
30505,41362,30505_41362
30506,31273,30506_31273
30507,30753,30507_30753
30507,41453,30507_41453
30508,41508,30508_41508
30508,30373,30508_30373
30509,32434,30509_32434
30510,41572,30510_41572
30510,41486,30510_41486
30511,31375,30511_31375
30512,41567,30512_41567
30512,30482,30512_30482
30513,37472,30513_37472
30513,30532,30513_30532
30514,30499,30514_30499
30515,50984,30515_50984
30516,30361,30516_30361
30517,30518,30517_30518
30518,39319,30518_39319
30518,30519,30518_30519
30518,41477,30518_41477
30519,31316,30519_31316
30520,38566,30520_38566
30520,43071,30520_43071
30521,43248,30521_43248
30521,41358,30521_41358
30522,41590,30522_41590
30522,30370,30522_30370
30523,30545,30523_30545
30524,43015,30524_43015
30525,30524,30525_30524
30526,41657,30526_41657
30526,43251,30526_43251
30527,30501,30527_30501
30527,32425,30527_32425
30528,30520,30528_30520
30529,32418,30529_32418
30530,30531,30530_30531
30531,41678,30531_41678
30532,31312,30532_31312
30533,41680,30533_41680
30533,30503,30533_30503
30534,41683,30534_41683
30534,43257,30534_43257
30535,42145,30535_42145
30535,30803,30535_30803
30536,31780,30536_31780
30536,30290,30536_30290
30537,41500,30537_41500
30537,32036,30537_32036
30538,41322,30538_41322
30538,41645,30538_41645
30539,31148,30539_31148
30540,32201,30540_32201
30541,39585,30541_39585
30541,31111,30541_31111
30541,38542,30541_38542
30542,30541,30542_30541
30542,38542,30542_38542
30543,31864,30543_31864
30544,36680,30544_36680
30544,32240,30544_32240
30544,41353,30544_41353
30545,39790,30545_39790
30545,40844,30545_40844
30545,41475,30545_41475
30546,30721,30546_30721
30547,31676,30547_31676
30547,31667,30547_31667
30548,31358,30548_31358
30548,30674,30548_30674
30549,31548,30549_31548
30549,30281,30549_30281
30550,31904,30550_31904
30550,30780,30550_30780
30551,30778,30551_30778
30551,31893,30551_31893
30552,32020,30552_32020
30552,30799,30552_30799
30552,34703,30552_34703
30553,31142,30553_31142
30553,42539,30553_42539
30553,32026,30553_32026
30554,31415,30554_31415
30554,31221,30554_31221
30554,43648,30554_43648
30555,40762,30555_40762
30555,32097,30555_32097
30555,32208,30555_32208
30556,42258,30556_42258
30556,31420,30556_31420
30556,40005,30556_40005
30557,41222,30557_41222
30557,42977,30557_42977
30557,30848,30557_30848
30558,39892,30558_39892
30558,31153,30558_31153
30558,30836,30558_30836
30559,30820,30559_30820
30559,31404,30559_31404
30560,31113,30560_31113
30560,42302,30560_42302
30561,41561,30561_41561
30561,30872,30561_30872
30562,30954,30562_30954
30562,43352,30562_43352
30563,31956,30563_31956
30563,31425,30563_31425
30564,31145,30564_31145
30564,36090,30564_36090
30565,32083,30565_32083
30565,31512,30565_31512
30566,31438,30566_31438
30566,30578,30566_30578
30567,31361,30567_31361
30567,31727,30567_31727
30567,37287,30567_37287
30568,30598,30568_30598
30568,31598,30568_31598
30569,42780,30569_42780
30569,32472,30569_32472
30569,30667,30569_30667
30570,30642,30570_30642
30570,37165,30570_37165
30570,31597,30570_31597
30570,36549,30570_36549
30571,31362,30571_31362
30571,30576,30571_30576
30572,31712,30572_31712
30572,30583,30572_30583
30573,30685,30573_30685
30573,30616,30573_30616
30574,30597,30574_30597
30574,36832,30574_36832
30574,31586,30574_31586
30575,31575,30575_31575
30575,33697,30575_33697
30576,30571,30576_30571
30576,30696,30576_30696
30577,31547,30577_31547
30577,31762,30577_31762
30578,30566,30578_30566
30578,32391,30578_32391
30579,41649,30579_41649
30579,31712,30579_31712
30580,31620,30580_31620
30580,31430,30580_31430
30581,40111,30581_40111
30581,42127,30581_42127
30581,31562,30581_31562
30582,41196,30582_41196
30582,43374,30582_43374
30582,31641,30582_31641
30583,30572,30583_30572
30583,31258,30583_31258
30584,43282,30584_43282
30584,32496,30584_32496
30585,31483,30585_31483
30585,31652,30585_31652
30586,31639,30586_31639
30586,42135,30586_42135
30587,31570,30587_31570
30587,38210,30587_38210
30587,30664,30587_30664
30588,30601,30588_30601
30588,42725,30588_42725
30589,30652,30589_30652
30589,43353,30589_43353
30590,41322,30590_41322
30590,31764,30590_31764
30591,43354,30591_43354
30591,30676,30591_30676
30592,30609,30592_30609
30592,31677,30592_31677
30593,30658,30593_30658
30593,30654,30593_30654
30593,40665,30593_40665
30594,31752,30594_31752
30594,31678,30594_31678
30595,30600,30595_30600
30595,31351,30595_31351
30596,31755,30596_31755
30596,31754,30596_31754
30597,30662,30597_30662
30597,30574,30597_30574
30598,31626,30598_31626
30598,30568,30598_30568
30599,31670,30599_31670
30599,32387,30599_32387
30600,31682,30600_31682
30600,30595,30600_30595
30601,31429,30601_31429
30601,30588,30601_30588
30602,31666,30602_31666
30602,31593,30602_31593
30603,42762,30603_42762
30603,30638,30603_30638
30604,30637,30604_30637
30604,31741,30604_31741
30604,41190,30604_41190
30605,31730,30605_31730
30605,30611,30605_30611
30606,30663,30606_30663
30606,30665,30606_30665
30607,31687,30607_31687
30607,30703,30607_30703
30608,30671,30608_30671
30608,31581,30608_31581
30609,31738,30609_31738
30609,30592,30609_30592
30610,31713,30610_31713
30610,43374,30610_43374
30611,30655,30611_30655
30611,30605,30611_30605
30612,30630,30612_30630
30612,31683,30612_31683
30613,42676,30613_42676
30613,30627,30613_30627
30613,31354,30613_31354
30614,31701,30614_31701
30614,31526,30614_31526
30615,70001,30615_70001
30615,31695,30615_31695
30616,30573,30616_30573
30616,30666,30616_30666
30617,31590,30617_31590
30617,43159,30617_43159
30618,43539,30618_43539
30618,31475,30618_31475
30618,30632,30618_30632
30619,30675,30619_30675
30619,31619,30619_31619
30620,31644,30620_31644
30620,30635,30620_30635
30621,30686,30621_30686
30621,31574,30621_31574
30622,31574,30622_31574
30622,31645,30622_31645
30623,31697,30623_31697
30623,31673,30623_31673
30624,31453,30624_31453
30624,41181,30624_41181
30624,43309,30624_43309
30625,31726,30625_31726
30625,31725,30625_31725
30626,42677,30626_42677
30626,31675,30626_31675
30627,31728,30627_31728
30627,42684,30627_42684
30627,30613,30627_30613
30628,31359,30628_31359
30628,31361,30628_31361
30629,70052,30629_70052
30629,32491,30629_32491
30630,31578,30630_31578
30630,30612,30630_30612
30631,31439,30631_31439
30631,31765,30631_31765
30632,30618,30632_30618
30632,30692,30632_30692
30633,30654,30633_30654
30633,30634,30633_30634
30634,30633,30634_30633
30634,31618,30634_31618
30635,30620,30635_30620
30635,43322,30635_43322
30636,32375,30636_32375
30636,31570,30636_31570
30637,31737,30637_31737
30637,30604,30637_30604
30638,30603,30638_30603
30638,31575,30638_31575
30639,31566,30639_31566
30639,42921,30639_42921
30640,31562,30640_31562
30640,31705,30640_31705
30641,31716,30641_31716
30641,42908,30641_42908
30642,31669,30642_31669
30642,30570,30642_30570
30642,37553,30642_37553
30643,31601,30643_31601
30643,31589,30643_31589
30643,34900,30643_34900
30644,31733,30644_31733
30644,31626,30644_31626
30645,37630,30645_37630
30645,31659,30645_31659
30645,31750,30645_31750
30646,42911,30646_42911
30646,31751,30646_31751
30647,36514,30647_36514
30647,31598,30647_31598
30647,31583,30647_31583
30648,42906,30648_42906
30648,31587,30648_31587
30649,31600,30649_31600
30649,30669,30649_30669
30650,31586,30650_31586
30650,31767,30650_31767
30651,39758,30651_39758
30651,38531,30651_38531
30651,30676,30651_30676
30652,31648,30652_31648
30652,35314,30652_35314
30652,30589,30652_30589
30653,42649,30653_42649
30653,31432,30653_31432
30653,43839,30653_43839
30654,30658,30654_30658
30654,30593,30654_30593
30654,30633,30654_30633
30655,30690,30655_30690
30655,30611,30655_30611
30656,39684,30656_39684
30656,31677,30656_31677
30656,31679,30656_31679
30657,31657,30657_31657
30657,31428,30657_31428
30658,30696,30658_30696
30658,30593,30658_30593
30658,30654,30658_30654
30659,31633,30659_31633
30659,31603,30659_31603
30660,32488,30660_32488
30660,39972,30660_39972
30660,32487,30660_32487
30661,31591,30661_31591
30661,31693,30661_31693
30662,32480,30662_32480
30662,30597,30662_30597
30662,38462,30662_38462
30663,31763,30663_31763
30663,30606,30663_30606
30664,30587,30664_30587
30664,31687,30664_31687
30665,30606,30665_30606
30665,42909,30665_42909
30666,30616,30666_30616
30666,31649,30666_31649
30667,30569,30667_30569
30667,42912,30667_42912
30668,31653,30668_31653
30668,34265,30668_34265
30669,30649,30669_30649
30669,31669,30669_31669
30669,39603,30669_39603
30670,30674,30670_30674
30670,37304,30670_37304
30670,43355,30670_43355
30671,31681,30671_31681
30671,30608,30671_30608
30672,31593,30672_31593
30672,31698,30672_31698
30673,31704,30673_31704
30673,31521,30673_31521
30674,30548,30674_30548
30674,30670,30674_30670
30675,30684,30675_30684
30675,30619,30675_30619
30676,30651,30676_30651
30676,30591,30676_30591
30677,42926,30677_42926
30677,42102,30677_42102
30678,38958,30678_38958
30678,31635,30678_31635
30678,31710,30678_31710
30679,31636,30679_31636
30679,39078,30679_39078
30679,31771,30679_31771
30680,31525,30680_31525
30680,30694,30680_30694
30680,43623,30680_43623
30681,31744,30681_31744
30681,31715,30681_31715
30682,31447,30682_31447
30682,31711,30682_31711
