Stop_ID,SATURN_Node
700000000000,51192
700000000001,50224
700000000002,51192
700000000003,50221
700000000004,51192
700000000005,50404
700000000006,51192
700000000007,50210
700000000008,51192
700000000009,50210
700000000010,51192
700000000011,50207
700000000012,51190
700000000013,50203
700000000014,50088
700000000015,51004
700000000016,50088
700000000018,51190
700000000019,52069
700000000020,51190
700000000021,50820
700000000022,51192
700000000023,50430
700000000024,51192
700000000026,51192
700000000027,51002
700000000028,50091
700000000029,51001
700000000030,50646
700000000031,51003
700000000032,50923
700000000033,51003
700000000034,50663
700000000035,51003
700000000037,50250
700000000038,50093
700000000039,50250
700000000040,50142
700000000041,50449
700000000042,50142
700000000043,50449
700000000044,50733
700000000045,50470
700000000046,31701
700000000047,50470
700000000048,50931
700000000049,51616
700000000050,50679
700000000051,50019
700000000052,50937
700000000053,50258
700000000054,50937
700000000055,50849
700000000056,50937
700000000057,50849
700000000058,50682
700000000059,50849
700000000060,50937
700000000061,50258
700000000062,50679
700000000063,50258
700000000064,50931
700000000065,50486
700000000066,50098
700000000067,50019
700000000068,50926
700000000069,51616
700000000070,50926
700000000071,50470
700000000072,50347
700000000073,50470
700000000074,51203
700000000075,51636
700000000076,51203
700000000077,50449
700000000078,50347
700000000079,50250
700000000080,50670
700000000081,50250
700000000082,50925
700000000083,51003
700000000084,50925
700000000085,51003
700000000086,50663
700000000087,51003
700000000088,50663
700000000089,51001
700000000090,50663
700000000091,51002
700000000092,50663
700000000093,50430
700000000094,50925
700000000095,50430
700000000096,50925
700000000097,50820
700000000098,50670
700000000099,50803
700000000100,51207
700000000101,52069
700000000102,50346
700000000103,52039
700000000104,50680
700000000105,50203
700000000106,50681
700000000107,50207
700000000108,51199
700000000109,50210
700000000110,51199
700000000111,50210
700000000112,51188
700000000113,50404
700000000114,51188
700000000115,50809
700000000116,50681
700000000117,51885
700000000118,50680
700000000119,50200
700000000120,50346
700000000121,52086
700000000122,50348
700000000123,51449
700000000124,50932
700000000125,51933
700000000126,50348
700000000128,51194
700000000129,52041
700000000130,50096
700000000132,50096
700000000133,52040
700000000134,50196
700000000136,51437
700000000137,50403
